opcode,instruction,num_params,param1,param2,size,is_modr,+rd
01,add,2,reg,reg,2,1,0
81,add,2,reg,imm32,6,0,0
03,add,2,reg,mem,6,1,0
01,add,2,mem,reg,6,1,0
05,add,2,eax,imm32,5,0,0
29,sub,2,reg,reg,2,1,0
81,sub,2,reg,imm32,6,0,0
2b,sub,2,reg,mem,6,1,0
29,sub,2,mem,reg,6,1,0
2d,sub,2,eax,imm32,5,0,0
39,cmp,2,reg,reg,2,1,0
81,cmp,2,reg,imm32,6,0,0
3b,cmp,2,reg,mem,6,1,0
39,cmp,2,mem,reg,6,1,0
3d,cmp,2,eax,imm32,5,0,0
e9,jmp,1,imm32,,5,0,0
ff,jmp,1,reg,,2,1,0
ff,jmp,1,mem,,6,1,0
89,mov,2,reg,reg,2,1,0
b8,mov,2,reg,imm32,5,0,1
8b,mov,2,reg,mem,6,1,0
c7,mov,2,mem,imm32,10,0,0
89,mov,2,mem,reg,6,1,0
40,inc,1,reg,,1,0,1
ff,inc,1,mem,,6,0,0
48,dec,1,reg,,1,0,1
ff,dec,1,mem,,6,0,0
31,xor,2,reg,reg,2,1,0
81,xor,2,reg,imm32,6,0,0
33,xor,2,reg,mem,6,1,0
31,xor,2,mem,reg,6,1,0
35,xor,2,eax,imm32,5,0,0
f7,mul,1,reg,,2,0,0
f7,mul,1,mem,,6,0,0
f7,div,1,reg,,2,0,0
f7,div,1,mem,,6,0,0
0f84,jz,1,imm32,,6,0,0
0f85,jnz,1,imm32,,6,0,0
